,0,1
413,BIS,ProShares UltraShort Nasdaq Biotechnology
414,BJK,VanEck Vectors Gaming ETF
415,BKCC,BlackRock Capital Investment Corporation 
416,BKEP,"Blueknight Energy Partners L.P., L.L.C. "
417,BKEPP,"Blueknight Energy Partners L.P., L.L.C. "
418,BKNG,Booking Holdings Inc. 
419,BKSC,Bank of South Carolina Corp. 
420,BKYI,BIO
421,BL,"BlackLine, Inc. "
422,BLBD,Blue Bird Corporation 
423,BLCM,"Bellicum Pharmaceuticals, Inc. "
424,BLCN,Siren Nasdaq NexGen Economy ETF
425,BLDP,"Ballard Power Systems, Inc. "
426,BLDR,"Builders FirstSource, Inc. "
427,BLFS,"BioLife Solutions, Inc. "
428,BLI,"Berkeley Lights, Inc. "
429,BLIN,"Bridgeline Digital, Inc. "
430,BLKB,"Blackbaud, Inc. "
431,BLMN,"Bloomin' Brands, Inc. "
432,BLNK,Blink Charging Co. 
433,BLNKW,Blink Charging Co. 
434,BLPH,"Bellerophon Therapeutics, Inc. "
435,BLRX,BioLineRx Ltd. 
436,BLSA,BCLS Acquisition Corp. 
437,BLU,BELLUS Health Inc. 
438,BLUE,"bluebird bio, Inc. "
439,BMCH,"BMC Stock Holdings, Inc. "
440,BMLP,"Dorsey Wright MLP Index ETNs due December 10, 2036"
441,BMRC,Bank of Marin Bancorp 
442,BMRN,BioMarin Pharmaceutical Inc. 
443,BMTC,Bryn Mawr Bank Corporation 
444,BND,Vanguard Total Bond Market ETF
445,BNGO,"Bionano Genomics, Inc. "
446,BNGOW,"Bionano Genomics, Inc. "
447,BNR,Burning Rock Biotech Limited 
448,BNSO,"Bonso Electronics International, Inc. "
449,BNTC,Benitec Biopharma Inc. 
450,BNTX,BioNTech SE 
451,BOCH,Bank of Commerce Holdings (CA) 
452,BOKF,BOK Financial Corporation 
453,BOKFL,BOK Financial Corporation 
454,BOMN,Boston Omaha Corporation 
455,BOOM,DMC Global Inc. 
456,BOSC,B.O.S. Better Online Solutions 
